title,type,house,area,price,lease,region,floor,orient,elevator,parking
整租 · 科技新村 2居室 4500,2室1厅1卫,整租,74㎡,4500,1年以内,西湖,中楼层/7层,朝南 北,无,暂无数据
整租 · 链家真实房源，翠苑四区，两房中间楼层,2室1厅1卫,整租,55㎡,3500,1年以内,西湖,中楼层/7层,朝南,无,暂无数据
整租 · 古荡新村西区 1室1厅 2300元,1室1厅1卫,整租,37㎡,2300,1~2年,西湖,高楼层/6层,朝南 北,无,暂无数据
整租 · 翠苑三区 精装修 之前业主自住 诚心出租,2室1厅1卫,整租,51㎡,4500,1~2年,西湖,低楼层/7层,朝南,无,暂无数据
整租 · 翠苑一区 2室1厅 3300元,2室1厅1卫,整租,43㎡,3300,1年以内,西湖,低楼层/6层,朝南,无,暂无数据
整租 · 枫华府第 品质小区 开发商统一装修,1室0厅1卫,整租,46㎡,4200,1年以内,西湖,低楼层/25层,朝南,有,租用车位
整租 · 古荡新村 温馨两房 邀您入住 空气清新 高楼层,2室1厅1卫,整租,61㎡,3100,1年以内,西湖,高楼层/6层,朝南,无,暂无数据
整租 · 嘉绿莲苑 3居室 7200,3室2厅2卫,整租,134㎡,7200,1年以内,西湖,高楼层/18层,朝南 西北,有,暂无数据
整租 · 天堂软件园 中天MCC 单身公寓，随时看房，拎包入住,1室0厅1卫,整租,38㎡,3600,1~2年,西湖,低楼层/23层,朝北,有,暂无数据
整租 · 星洲花园万黛兰居 3居室 6000,3室2厅1卫,整租,96㎡,6000,1年以内,西湖,低楼层/6层,朝南,无,暂无数据
青山鹤岭 3室2厅 2400元,3室2厅2卫,租赁方式未知,104㎡,2400,暂无数据,临安,中楼层/11层,朝南,无,暂无数据
越秀星汇城 4室2厅 3300元,4室2厅2卫,租赁方式未知,184㎡,3300,暂无数据,临安,低楼层/32层,朝南,暂无数据,暂无数据
江南佳苑 4室1厅 2200元,4室1厅2卫,租赁方式未知,136㎡,2200,暂无数据,临安,高楼层/18层,朝西南,暂无数据,暂无数据
合租 · 锦绣兰庭(临安) 3室1厅,3室1厅1卫,合租,13㎡,1600,暂无数据,临安,16/25层,朝南,暂无数据,暂无数据
