title,summaries,position,open,ticket,traffic,comment,site
西湖,首批国家5A级旅游景区和中国十大风景名胜之一，2011年被列入世界遗产名录。以一山、二塔、三岛、三堤、五湖为基本格局，著名的西湖十景点缀其间，自然与人文相互映衬，美不胜收。出现在人民币壹圆纸币背面的三潭印月景观，亦体现西湖在中国风景名胜中特殊的地位。游玩西湖可以步行、坐游船、乘电瓶车、自驾或骑行。其中电瓶车是最方便省力，招手即停，线路正好绕西湖一圈（10元/区间，40元/全程）。,杭州市西湖区西湖风景名胜区,全天,免费,乘坐地铁1号线到龙翔桥站，出站步行400米步行就到西湖。乘K4、游2路苏堤站下；乘28、15路玉泉站下；27路，7路岳坟站下，均可到达。,（10701条）,http://www.toxihu.com
断桥残雪,·是《白蛇传》中许仙、白娘子的相会之地，也给这座长桥平添许多浪漫色彩。·冬雪初下，桥的阳面冰雪消融，但阴面仍被残雪覆盖，从高处看桥似断非断，形成著名的“断桥残雪”。·可以作为游玩西湖的起点。从断桥上白堤去孤山，依次游玩西湖周边的各个景点。,杭州市西湖区北山街,全天,免费,附近公交站点：断桥站——途径线路：7路；51路；52路。下车后西行30米左右即可抵达。,（3668条）,
三潭印月,·又称小瀛洲，是西湖三岛中面积最大、唯一能上岛游览的一个岛，被誉为西湖第一胜境。·轮廓像“田”字，外圈环形是江南园林，内部被十字形的岛和桥分割成四个小湖，充满诗情画意。·全岛花木疏密相间，以翠柳，荷花，红枫，木芙蓉为主，是江南水上庭院艺术的代表作。·三座石塔是精华所在。中秋在塔中点上蜡烛，在塔身四周的小洞上蒙上薄纸，光线透过纸印在湖面，和天上的月亮交相辉映，美不胜收。,杭州市西湖区西湖三潭印月,全天, 联票:(包含船票、小瀛洲、三潭映月)55人民币 (1月1日-12月31日 周一-周日),上岛游玩需要乘游船，分为豪华画舫（有空调）和普通游船两种，游玩结束后可凭票乘船返回至花港、湖滨、中山、岳庙码头其中任意一个码头。,（2767条）,
曲院风荷,·西湖十景之一，其所在的风荷公园内栽培了上百个品种的荷花，夏季显出分外迷人的吸引力。·南宋时，此地有一座官家酿酒作坊，取金沙涧的溪水造曲酒。附近种有菱荷，每当夏日风起，酒香荷香沁人心脾，故称“曲院风荷”。·莲叶田田，菡萏妖娆。水面上架设了造型各异的小桥，人从桥上过，如在荷中行。,杭州市西湖区北山街89号,全天,免费,附近公交站点：岳庙站——途径车次：7路;27路;27路定时班;51路;52路;118路。下车后沿北山街东行150米后，右转并前行100米后可达。,（1962条）,
浪石金滩,·浪石金滩原名桐溪漂流，如今已开辟为风情休闲旅游区，四周青峦叠嶂，四季景物各具风韵。·这里的竹筏漂流最为出名，此外还有龙舟竞技、水上乐园、帐篷露营等项目，体验丰富。·景区周边餐馆不多，但景区内的烧烤场，以及漂流下游附近的农家乐，完全可以解决用餐问题。,杭州市桐庐县横村镇浪石村,08:00-16:00 (1月1日-12月31日 周一-周日), 成人票:50人民币 (1月1日-12月31日 周一-周日),杭州汽车西站、南站都有客车直达桐庐长途车站，然后乘18路公交到分水江大桥的车站，再乘坐桐庐至分水中巴车，在浪石下车即可。,（1661条）,http://www.lsbeach.com/
太子湾公园,·太子湾公园位于西湖的西南角，一个充满浪漫情怀的公园，这里属春天的郁金香最为出名。·每年的3月底至4月初，公园内几十万朵郁金香、樱花和花信子百花齐放，分外美丽。·即使不是花期，公园中部的琵琶洲和翡翠园的秋色、冬季的雪景都各有特色。·无论什么时候，都能看到不少拍婚纱照的新人和约会的情侣，让整个公园充满了浪漫气息。,杭州市西湖区南山路5-1号,全天,免费,公交：乘坐4、4区间、31、51、52、87、315、334、514b、514、822、西湖南线景区假日线、游2/y2、游6线/y6路等公交车在苏堤站下车可达。,（1521条）,
千岛湖风景区,千岛湖，位于浙江省淳安县境内，是新安江大坝截流后形成的人工湖。这里湖水清澈，湖形呈树枝型，湖中大小岛屿1078个，星罗棋布，形态各异且景致各具特色。千岛湖水在中国大江大湖中位居优质水之首，为国家一级水体，不经任何处理即达饮用水标准，被誉为“天下第一秀水”。游玩千岛湖主要是坐游船登岛游览，景区按照游船线路为中心湖区、东南湖区，有固定的线路和岛屿景点。,浙江省杭州淳安县千岛湖镇,08:00-17:00 (3月1日-11月30日 周一-周日), 普通票:150人民币 (3月1日-11月30日 周一-周日),公共交通杭州长途汽车西站-千岛湖客运中心，6:00-18:50每30分钟一班，约60元，车程约2小时黄龙旅游集散中心-千岛湖阳光车站，8:00-18:30每1.5小时左右一班城际公交，40元左右，约3小时钱江市场-千岛湖阳光车站，5:20-17:30左右，约20分钟一班，40元左右,（1729条）,http://www.1islandlake.com/
雷峰塔,·雷峰塔是西湖的标志性景点，由吴越国王钱弘俶因为王妃生子而建，如今更多是因为《白蛇传》而闻名。·“雷峰如老衲，保俶如美人”。雷峰塔与北山的保俶塔隔湖相对，呈现“一湖映双塔，南北相对峙”的美景。·每当夕阳西下，塔影横空，别有一番景色，故被称为“雷峰夕照”。·台基二层内，用玻璃罩着古塔残存的塔砖，是现在塔内唯一保存的古物。除此之外，塔内布置都颇有现代风。,浙江省杭州市西湖区南山路15号,08:00-17:30；停止售票时间:17:00 (11月1日-次年3月15日 周一-周日), 成人票:40人民币 (1月1日-12月31日 周一-周日),K4、K808、Y1、Y3、J5、822/K822、K504、Y6、Y9、Y7、514区路净寺站下车。,（5094条）,
南浔古镇,南浔建镇至今己有750多年历史，历史积淀浓郁，文化底蕴深厚，是国家5A级旅游区。凭借独特的历史地位和人文景观，荣膺“中国十大魅力名镇”、“中国历史文化名镇”等称号。镇内名胜古迹众多，江南园林——小莲庄，私家藏书楼——嘉业堂，水乡建筑——百间楼，江南第一巨宅——张石铭故居等等。与自然风光和谐统一，既充满着浓郁的历史文化底蕴和灵气，又洋溢着江南水乡诗画一般的神韵。,湖州市南浔区南浔镇人瑞路51号,07:30-17:00 (4月1日-10月31日 周一-周日), 联票:100人民币 (1月1日-12月31日 周一-周日),南浔距离华东第二大通道——宣杭铁路湖州站34公里，南接杭州，北通南京、北京；湖乍铁路穿境而过。游客可先乘火车至湖州或嘉兴，再转车前往南浔古镇旅游区。湖州火车站——南浔古镇1、先乘坐公交21路至公交总公司站，步行至章计村站，再乘坐公交101a至泰安路车站。下车后游客可以选择步行至南浔古镇景区，也可以乘三轮车去，大概3—4元左右。2、浙北客运中心，每天06：30—17：30有快客到南浔，约15分钟一班；湖州汽车新站发往南浔泰安路客运站的车很多，快客20分钟一班，约1个小时车程，票价8元。嘉兴火车站——南浔古镇在嘉兴火车站乘坐公交22路或4路、32路、5路前往嘉兴汽车北站。嘉兴汽车北站每天08：30—16：30有8趟班车到南浔，约半小时、1小时一趟不等，行程57公里，票价12元。景区内部可以乘坐人力三轮车或者出租车人力三轮车：当地的人力三轮车是南浔镇主要交通工具之一，出行方便。三轮车收费约3元/公里。从镇上的泰安路客运站到小莲庄3—4元。（在南浔景区玩，基本上步行就可以了，如果走累的话，可以坐上人力三轮车，一般3元起价，不推荐被三轮车说动后，乘坐三轮所谓游老街，否则只能是挨宰。）出租车：南浔镇出租车不多，起步价5元/5公里，以后每公里2元。,（859条）,http://www.hznxgz.com
杭州西湖风景名胜区-九溪烟树,俗称“九溪十八涧”，是由众多小溪流汇合而成的“Y”字形溪涧，每逢雨后，附近八觉山上的树林烟雾升腾，满谷迷蒙，形成好看的“烟树”景观。九溪长约5.5公里，沿着溪流是葱茏的树木和大片的茶园，是绝佳的避暑圣地。有三个出入口，即“Y”字左上的龙井村、右上的杨梅岭，以及下方的九溪路。中间交汇的地方，叫做“溪中溪”，九溪烟树公园、理安寺、瀑布等景点都集中在这里。可以自行选择路线，但比较推荐的走法是九溪路-溪中溪-龙井村。除步行外，九溪路-溪中溪-杨梅岭路段可以自驾，景区内有停车场。,杭州市西湖区龙井村南九溪十八涧尽头(近九溪路),全天,免费,乘4、4区间、103、189、190、202、279、280、287、287区间、291、308、318、324、334、354、510、514a、514b、514、514支线、902、杭富商务专线、杭富一体化1号线、杭富一体化2号线、抗富一体化1号线九溪等公交车在九溪站下车可达,（1458条）,
