name,type,price,star,comment,taste,env,service,recommend.0,recommend.1,recommend.2,zone,address
古早永乐村(湖滨银泰in77店),小吃快餐,￥22,四星商户,2652.0,8.2,8.6,8.4,霸王油条,肉燥饭团,咸豆浆,湖滨,东坡路26号
缸鸭狗·宁波特色小吃(来福士店),小吃快餐,￥50,准四星商户,700.0,7.7,8.0,7.5,宁波汤圆,酸辣虾肉馄饨,全家福汤圆,钱江新城,新业路228号来福士6楼
遵义虾子齐记羊肉粉(龙游路店),小吃快餐,￥31,四星商户,241.0,8.3,8.0,8.1,招牌羊肉粉,招牌羊杂粉,烤羊肉串,凤起路沿线,龙游路12-2号
争火烫捞(中豪国际店),小吃快餐,￥28,准五星商户,64.0,8.7,8.7,9.0,蟹子丸,芝士年糕,荷包蛋,天城路沿线,明月桥路中豪五星国际3幢1楼底商5
古早永乐村(文一店),小吃快餐,￥22,准五星商户,644.0,8.4,8.7,8.6,霸王油条,冰豆浆,古早肉燥饭团,高新文教区,文一路铂澜大象城2楼
酱小馆•江南卤味制造局(天阳亲子广场店),小吃快餐,￥44,准五星商户,381.0,8.6,8.9,8.9,卤大肠,蜜汁红薯,食神炒饭,天阳亲子广场（钱江新城）,天阳亲子广场一楼
谢大牛馆·黄牛骨中式牛排,小吃快餐,￥72,准五星商户,1591.0,9.0,8.3,8.6,牛排,牛杂粉,黄牛骨,德胜路沿线,上塘路340号
遇秦人·西北面食(武林店),西北菜,￥30,准四星商户,55.0,7.1,7.3,7.2,烤羊肉串5串,biangbiang面,招牌凉皮,凤起路沿线,武林路127号
渝满堂重庆小面(百井坊巷店),小吃快餐,￥34,准五星商户,1068.0,8.8,8.5,8.9,豌杂牛肉面,重庆小面,豌豆杂酱面,武林广场,百井坊24号
永记馄饨,小吃快餐,￥17,四星商户,447.0,8.3,8.2,8.7,全家福生煎,凉拌拼盘,豆腐鲜肉馄饨,凤起路沿线,孩儿巷73号启正中学西南门斜对面东行10米
舊巷南(沈塘桥店),小吃快餐,￥19,四星商户,203.0,8.0,8.0,8.1,芋泥,花生酱香拌面,牛肉滑,高新文教区,莫干山路108号沈塘桥地铁站商业街A1商铺
汉堡王(西溪首座店),小吃快餐,￥25,准五星商户,139.0,8.6,8.9,8.6,薯条,火烤菠萝皇堡（鸡）,霸王鸡盒,西湖区,文一西路588号西溪首座
遵义羊肉粉,小吃快餐,￥19,准四星商户,2.0,7.1,7.1,7.1,清汤羊肉粉,招牌牛杂面,招牌牛杂粉,江干区,九盛路格畈社区卫生服务站旁
又卷烧饼(湖滨in77店),小吃快餐,￥16,四星商户,117.0,8.3,8.0,8.0,经典掉渣牛肉烧饼,鱿鱼爱上豆腐,猪肉掉渣烧饼,湖滨,延安路239号湖滨银泰D区负一楼137
金木华稻米社,小吃快餐,,准五星商户,21.0,8.3,8.5,8.5,饭团,米酒,养乐多,湖滨,中山中路543号
汉堡王(滨江宝龙城市广场店),小吃快餐,￥28,准五星商户,229.0,8.5,8.7,8.4,霸王装薯霸王,咸蛋黄夹心霸王鸡条,王道嫩香鸡块,滨江宝龙城,浦沿街道滨盛路3867号滨江宝龙城市广场M-F1-014-1
流芳面馆(建国北路店),面馆,￥18,准五星商户,379.0,8.6,8.4,8.6,茄汁拌面,大排面,猪肝拌川,建国路沿线,建国北路471号滨河广场内
矮子面食馆,面馆,,准四星商户,14.0,7.4,7.5,7.4,招牌牛肉面,大排,爆鱼,余之城购物中心,新城路君临天峰府5-8号
呼呼泡,小吃快餐,￥25,四星商户,115.0,8.2,8.4,8.5,卤味肉蛋套餐,卤味一丁,一蘭拉面,凤起路沿线,中山北路133号
汉堡王(庆春店),小吃快餐,￥28,四星商户,189.0,8.2,8.2,8.2,薯霸王,火炬冰淇淋,王道嫩香鸡块,钱江新城,四季青街道地铁2号线庆春广场站地铁站商业空间A1A2A3商铺
粥点先生·顺德美食,小吃快餐,￥38,准五星商户,517.0,8.8,8.8,9.1,石磨肠粉,嫩滑肉片粥,古法蒸凤爪,滨江天街,铂金岛外街临街商铺，月明路边上，地下车库月明路出口左侧
争火烫捞(庆春银泰店),小吃快餐,￥30,准五星商户,226.0,8.1,8.1,8.5,单锅单煮,芝士年糕,金针菇,钱江新城,太平门直街庆春东路408号
不二烫捞(远洋乐堤港店),小吃快餐,￥27,准四星商户,25.0,7.5,7.8,8.1,手工蛋饺,手工年糕,原味汤,大关,大关路远洋乐堤港负一楼美食区A058号
徐记香酥鸡烧饼,小吃快餐,￥11,四星商户,78.0,7.9,7.8,7.8,香酥鸡,臭豆腐,香葱烧饼,城厢,萧山人民路132-2号
汉堡王(杭州金逸影城店),小吃快餐,￥33,准五星商户,283.0,8.4,8.6,8.4,薯霸王,王道椒香鸡腿,咸蛋黄夹心霸王鸡条,西联广场,东新路与西文街交叉口西北角西联广场
小丸家大煎饼,小吃快餐,￥13,四星商户,33.0,8.2,8.0,8.2,招牌双蛋鸡柳里脊煎饼,全家福煎饼果子,现磨醇香黑芝麻豆浆,西湖北线/黄龙,玉古路188号现代国际大厦负一层闪电厨房
糊糊(武林店),小吃快餐,￥24,准五星商户,189.0,8.5,8.4,8.9,姜汁核桃调蛋,糍粑冰粉,豇豆莳,凤起路沿线,武林路169-1号
