,name,type,price,star,comment,taste,env,service,recommend.0,recommend.1,recommend.2,zone,address,location
0,古早永乐村(湖滨银泰in77店),小吃快餐,￥22,四星商户,2652.0,8.2,8.6,8.4,霸王油条,肉燥饭团,咸豆浆,湖滨,东坡路26号,"120.163089,30.254794"
1,缸鸭狗·宁波特色小吃(来福士店),小吃快餐,￥50,准四星商户,700.0,7.7,8.0,7.5,宁波汤圆,酸辣虾肉馄饨,全家福汤圆,钱江新城,新业路228号来福士6楼,"120.212915,30.249175"
2,遵义虾子齐记羊肉粉(龙游路店),小吃快餐,￥31,四星商户,241.0,8.3,8.0,8.1,招牌羊肉粉,招牌羊杂粉,烤羊肉串,凤起路沿线,龙游路12-2号,"120.160670,30.261893"
3,争火烫捞(中豪国际店),小吃快餐,￥28,准五星商户,64.0,8.7,8.7,9.0,蟹子丸,芝士年糕,荷包蛋,天城路沿线,明月桥路中豪五星国际3幢1楼底商5,"120.223782,30.291094"
4,古早永乐村(文一店),小吃快餐,￥22,准五星商户,644.0,8.4,8.7,8.6,霸王油条,冰豆浆,古早肉燥饭团,高新文教区,文一路铂澜大象城2楼,"120.124453,30.288350"
5,酱小馆•江南卤味制造局(天阳亲子广场店),小吃快餐,￥44,准五星商户,381.0,8.6,8.9,8.9,卤大肠,蜜汁红薯,食神炒饭,天阳亲子广场（钱江新城）,天阳亲子广场一楼,"120.196714,30.230918"
6,谢大牛馆·黄牛骨中式牛排,小吃快餐,￥72,准五星商户,1591.0,9.0,8.3,8.6,牛排,牛杂粉,黄牛骨,德胜路沿线,上塘路340号,"120.161050,30.294217"
7,遇秦人·西北面食(武林店),西北菜,￥30,准四星商户,55.0,7.1,7.3,7.2,烤羊肉串5串,biangbiang面,招牌凉皮,凤起路沿线,武林路127号,"120.160727,30.261278"
8,渝满堂重庆小面(百井坊巷店),小吃快餐,￥34,准五星商户,1068.0,8.8,8.5,8.9,豌杂牛肉面,重庆小面,豌豆杂酱面,武林广场,百井坊24号,"120.163270,30.267377"
9,永记馄饨,小吃快餐,￥17,四星商户,447.0,8.3,8.2,8.7,全家福生煎,凉拌拼盘,豆腐鲜肉馄饨,凤起路沿线,孩儿巷73号启正中学西南门斜对面东行10米,"120.167583,30.261937"
10,舊巷南(沈塘桥店),小吃快餐,￥19,四星商户,203.0,8.0,8.0,8.1,芋泥,花生酱香拌面,牛肉滑,高新文教区,莫干山路108号沈塘桥地铁站商业街A1商铺,"120.150517,30.280043"
11,汉堡王(西溪首座店),小吃快餐,￥25,准五星商户,139.0,8.6,8.9,8.6,薯条,火烤菠萝皇堡（鸡）,霸王鸡盒,西湖区,文一西路588号西溪首座,"120.076481,30.288853"
12,遵义羊肉粉,小吃快餐,￥19,准四星商户,2.0,7.1,7.1,7.1,清汤羊肉粉,招牌牛杂面,招牌牛杂粉,江干区,九盛路格畈社区卫生服务站旁,"120.260019,30.325589"
13,又卷烧饼(湖滨in77店),小吃快餐,￥16,四星商户,117.0,8.3,8.0,8.0,经典掉渣牛肉烧饼,鱿鱼爱上豆腐,猪肉掉渣烧饼,湖滨,延安路239号湖滨银泰D区负一楼137,"120.163811,30.268079"
14,金木华稻米社,小吃快餐,,准五星商户,21.0,8.3,8.5,8.5,饭团,米酒,养乐多,湖滨,中山中路543号,"120.169574,30.256935"
15,汉堡王(滨江宝龙城市广场店),小吃快餐,￥28,准五星商户,229.0,8.5,8.7,8.4,霸王装薯霸王,咸蛋黄夹心霸王鸡条,王道嫩香鸡块,滨江宝龙城,浦沿街道滨盛路3867号滨江宝龙城市广场M-F1-014-1,"120.168331,30.188162"
16,流芳面馆(建国北路店),面馆,￥18,准五星商户,379.0,8.6,8.4,8.6,茄汁拌面,大排面,猪肝拌川,建国路沿线,建国北路471号滨河广场内,"120.180107,30.268345"
17,矮子面食馆,面馆,,准四星商户,14.0,7.4,7.5,7.4,招牌牛肉面,大排,爆鱼,余之城购物中心,新城路君临天峰府5-8号,"120.307300,30.398750"
18,呼呼泡,小吃快餐,￥25,四星商户,115.0,8.2,8.4,8.5,卤味肉蛋套餐,卤味一丁,一蘭拉面,凤起路沿线,中山北路133号,"120.169091,30.261438"
