date,weather,max,min,power,direction
2011-01-01,雨夹雪,5,-1,微风,无持续风向
2011-01-02,多云,7,0,微风,无持续风向~北风
2011-01-03,雨夹雪,6,0,微风,北风
2011-01-04,雨夹雪~阴,4,-2,微风,北风
2011-01-05,多云,5,-1,微风,北风
2011-01-06,多云~晴,6,0,微风,北风
2011-01-07,阴,6,0,微风,东北风
2011-01-08,雨夹雪,4,-2,微风,东北风
2011-01-09,雨夹雪,4,-2,4-5级,北风
2011-01-10,小雪,2,-1,微风,北风
2011-01-11,中雪~小雪,4,-2,3-4级~4-5级,东北风~北风
2011-01-12,阴,5,0,微风,北风
2011-01-13,多云,6,-1,微风,东北风
2011-01-14,多云~晴,4,-3,微风,北风~东风
2011-01-15,多云~阴,4,-2,3-4级,北风
2011-01-16,阴~雨夹雪,3,-2,微风,北风
2011-01-26,阴~雨夹雪,5,0,微风,东风
2011-01-29,多云,4,-2,微风,东北风
2011-01-30,多云~晴,5,-1,微风,东北风
2011-01-31,晴~多云,6,0,微风,北风
2011-02-01,多云,9,1,微风,北风
2011-02-02,晴,11,3,微风,南风
2011-02-03,晴~多云,15,3,微风,南风~东南风
2011-02-04,晴~多云,15,3,微风,无持续风向
2011-02-05,多云~晴,16,5,微风,东北风
2011-02-06,阴~多云,15,4,微风,南风
2011-02-07,多云,19,6,微风,无持续风向
2011-02-08,多云,19,6,微风,北风
2011-02-09,阴~小雨,13,3,5-6级~4-5级,北风
2011-02-10,中雨~小雨,5,0,微风,东北风
2011-02-11,多云,5,-1,微风,北风
2011-02-12,多云~小雨,7,1,微风,北风
2011-02-13,雨夹雪,4,-1,微风,东北风
2011-02-14,阴~多云,6,-2,微风,无持续风向
2011-02-15,多云~阴,7,1,微风,东北风
2011-02-16,小雨,6,2,微风,东风
2011-02-17,小雨~阴,6,3,微风,东北风
2011-02-18,阴~小雨,7,3,微风,北风
2011-02-19,阴~多云,8,2,微风,无持续风向
2011-02-20,多云~晴,11,2,微风,东北风
2011-02-21,晴~多云,13,4,微风,东北风
2011-02-22,晴~多云,15,6,微风,东风
2011-02-23,多云,16,8,微风,东南风
2011-02-24,晴~多云,21,8,微风,东风
2011-02-25,阴~阵雨,13,6,微风,东北风
2011-02-26,多云~阴,17,8,微风,无持续风向
2011-02-27,多云~阵雨,20,6,微风,南风~北风
2011-02-28,小雨,8,4,5-6级~4-5级,北风
2011-03-01,阴~多云,7,2,微风,北风
2011-03-02,晴~多云,9,1,微风,无持续风向
2011-03-03,阴~多云,9,1,微风,北风
2011-03-04,晴~多云,12,3,微风,北风
2011-03-05,多云~小到中雨,14,4,微风,东风
2011-03-06,中雨~小雨,9,4,微风,无持续风向
2011-03-07,多云~晴,11,3,微风,北风
2011-03-08,晴~多云,16,5,微风,无持续风向
2011-03-09,多云,14,3,微风,北风~南风
2011-03-10,晴~多云,18,6,微风,东北风
2011-03-11,多云~阴,16,7,微风,无持续风向
2011-03-12,多云~阴,20,9,微风,无持续风向
2011-03-13,多云~阵雨,22,8,3-4级,南风
2011-03-14,小雨~小到中雨,16,5,4-5级~5-6级,北风
2011-03-15,小雨~阴,8,3,5-6级~4-5级,北风
2011-03-16,多云,14,5,微风,北风
2011-03-17,多云,17,6,微风,无持续风向
2011-03-18,阴~阵雨,15,9,微风,南风
2011-03-19,阵雨,16,11,微风,南风
2011-03-20,阵雨~中雨,16,7,微风,东风~东北风
2011-03-21,中雨~小雨,8,3,5-6级~3-4级,北风
2011-03-22,小雨~阴,7,3,微风,无持续风向
2011-03-23,多云,11,4,微风,北风
2011-03-24,多云,15,4,微风,北风
2011-03-25,晴~多云,16,5,微风,北风
2011-03-26,晴~多云,16,6,微风,北风~南风
2011-03-27,多云~晴,17,6,微风,无持续风向
2011-03-28,晴,19,7,微风,南风
2011-03-29,多云~晴,17,7,微风,北风
2011-03-30,晴~多云,20,8,微风,东风
2011-03-31,晴~多云,22,11,微风,南风
2011-04-01,多云,24,11,微风,南风
2011-04-02,阴~小雨,18,7,微风~4-5级,东风~东北风
2011-04-03,小雨~阴,8,5,4-5级,东北风~北风
2011-04-04,多云,15,6,微风,北风
2011-04-05,晴~多云,17,9,微风,北风
2011-04-06,多云~阵雨,19,12,微风,无持续风向
2011-04-07,阵雨,17,11,微风,北风
2011-04-08,阴,17,10,微风,东风~南风
2011-04-09,阴~阵雨,22,15,微风,东南风
2011-04-10,阴~小雨,22,16,微风,东南风
2011-04-11,多云~晴,20,10,微风,北风
2011-04-12,晴~多云,22,12,微风,东风
2011-04-13,阴~多云,20,14,微风,南风
2011-04-14,阴~阵雨,27,16,微风,南风
2011-04-15,雷阵雨~中到大雨,26,16,3-4级~4-5级,南风~北风
2011-04-16,小雨~阴,18,10,4-5级,北风~东北风
2011-04-17,多云~晴,22,12,微风,东北风
2011-04-18,晴,21,10,4-5级~微风,北风
2011-04-19,晴,21,12,微风,北风~南风
2011-04-20,晴~多云,24,12,微风,北风~南风
2011-04-21,多云~阵雨,23,16,3-4级~4-5级,东南风~北风
2011-04-22,小雨~多云,21,13,4-5级~微风,北风
2011-04-23,晴~多云,25,15,微风,南风
2011-04-24,晴,25,15,微风,东北风~南风
2011-04-25,晴~多云,30,16,微风,南风
2011-04-26,晴~阵雨,34,19,4-5级,西南风
2011-04-27,多云,27,15,微风,北风
2011-04-28,晴~多云,27,15,微风,东南风~南风
2011-04-29,多云~阴,33,20,微风,南风
2011-04-30,阵雨,28,16,3-4级~4-5级,南风~北风
2011-05-01,阵雨~多云,27,16,3-4级,东北风
2011-05-02,多云~大雨,26,16,微风,东风
2011-05-03,阴,17,12,3-4级~微风,东北风
2011-05-04,阴~多云,17,12,微风,东风
2011-05-05,多云,25,16,微风,南风
2011-05-06,阴~多云,29,19,微风,东南风
2011-05-07,晴,33,21,4-5级~3-4级,西南风
2011-05-08,晴~多云,35,23,4-5级,西南风
2011-05-09,阴~多云,33,23,微风,南风
2011-05-10,多云~雷阵雨,35,23,微风,南风
2011-05-11,阵雨~阴,26,20,微风,北风
2011-05-12,阴~多云,26,18,微风,北风
2011-05-13,多云~晴,28,20,微风,北风~南风
2011-05-14,多云~阴,28,20,微风,南风
2011-05-15,多云~阵雨,26,18,微风,南风
2011-05-16,多云,28,18,微风,南风
2011-05-17,多云~晴,31,18,微风,南风
2011-05-18,晴,32,20,微风,无持续风向
2011-05-19,晴,35,23,微风,南风
2011-05-20,晴~多云,36,22,微风,南风
2011-05-21,阵雨,28,18,3-4级,北风
2011-05-22,阵雨~小到中雨,20,16,微风,无持续风向
2011-05-23,小雨~阴,17,15,微风,东北风
2011-05-24,阴,21,16,微风,东北风
2011-05-25,阴,23,18,微风,北风
2011-05-26,多云,28,18,微风,北风
2011-05-27,多云,28,18,微风,北风
2011-05-28,阴~多云,25,17,微风,东北风
